"Country_code","Country","Year","health_expenditure_gdp_share","health_expenditure","health_expenditure_capita"
"AUS","Australia",2015,10.182,168774.789,4776.158
"AUS","Australia",2016,10.093,177516.473,5037.266
"AUS","Australia",2017,10.123,186526.481,5074.653
"AUS","Australia",2018,10.06,195823.845,5190.886
"AUS","Australia",2019,10.22,202295.193,5126.653
"AUS","Australia",2020,10.684,222266.507,5692.402
"AUS","Australia",2021,10.59,244521.695,6225.535
"AUS","Australia",2022,9.646,249168.526,6372.027
"AUT","Austria",2015,10.368,35692.347,4943.516
"AUT","Austria",2016,10.352,37020.512,5195.532
"AUT","Austria",2017,10.384,38354.628,5315.355
"AUT","Austria",2018,10.349,39871.46,5518.538
"AUT","Austria",2019,10.487,41650.955,5625.442
"AUT","Austria",2020,11.385,43383.053,5863.664
"AUT","Austria",2021,12.096,49127.647,6690.093
"AUT","Austria",2022,11.351,50813.651,7275.354
"BEL","Belgium",2015,10.797,44993.131,4817.917
"BEL","Belgium",2016,10.794,46421.461,5013.354
"BEL","Belgium",2017,10.799,48058.991,5143.526
"BEL","Belgium",2018,10.861,49968.344,5350.974
"BEL","Belgium",2019,10.795,51672.024,5423.676
"BEL","Belgium",2020,11.198,51489.228,5509.054
"BEL","Belgium",2021,11.043,55492.938,6022.253
"BEL","Belgium",2022,10.94,60112.994,6599.981
"CAN","Canada",2015,10.739,213747.542,4633.159
"CAN","Canada",2016,11.032,223455.279,5043.699
"CAN","Canada",2017,10.906,233464.957,5171.553
"CAN","Canada",2018,10.905,243809.536,5337.4
"CAN","Canada",2019,11.009,254697.322,5222.644
"CAN","Canada",2020,13.035,288034.53,5879.075
"CAN","Canada",2021,12.334,309538.987,6277.503
"CAN","Canada",2022,11.155,310672.058,6319.038
"SWE","Sweden",2015,10.804,460309,5004.13
"SWE","Sweden",2016,10.852,479137,5127.577
"SWE","Sweden",2017,10.785,498821,5219.411
"SWE","Sweden",2018,10.941,528268,5419.273
"SWE","Sweden",2019,10.832,546987,5387.733
"SWE","Sweden",2020,11.333,571016,5733.534
"SWE","Sweden",2021,11.247,614299,6227.612
"SWE","Sweden",2022,10.667,632146,6437.692
"FIN","Finland",2015,9.645,20388.588,3992.493
"FIN","Finland",2016,9.378,20398.751,4103.554
"FIN","Finland",2017,9.127,20653.816,4215.309
"FIN","Finland",2018,9.043,21111.012,4330.443
"FIN","Finland",2019,9.171,21998.37,4383.634
"FIN","Finland",2020,9.632,22929,4614.556
"FIN","Finland",2021,10.25,25686.82,5251.501
"FIN","Finland",2022,10.039,26771.591,5598.892
"ESP","Spain",2015,9.122,98344.362,3019.529
"ESP","Spain",2016,8.947,99710.199,3148.656
"ESP","Spain",2017,8.945,103983.94,3317.92
"ESP","Spain",2018,8.997,108309.619,3427.322
"ESP","Spain",2019,9.146,113910.688,3528.382
"ESP","Spain",2020,10.746,120135.306,3715.968
"ESP","Spain",2021,10.74,129615.259,4086.783
"ESP","Spain",2022,10.39,137884.565,4431.858
"CHE","Switzerland",2015,10.779,72003.601,6258.916
"CHE","Switzerland",2016,10.99,74495.758,6547.904
"CHE","Switzerland",2017,11.045,75610.591,6518.816
"CHE","Switzerland",2018,10.772,76431.516,6601.596
"CHE","Switzerland",2019,11.064,79312.842,6708.349
"CHE","Switzerland",2020,11.732,81498.191,7022.378
"CHE","Switzerland",2021,11.801,86343.978,7582.184
"CHE","Switzerland",2022,11.339,87450.238,8049.11
"EST","Estonia",2015,6.641,1370.201,1940.411
"EST","Estonia",2016,6.702,1457.634,2096.544
"EST","Estonia",2017,6.597,1572.368,2201.474
"EST","Estonia",2018,6.691,1735.195,2364.073
